. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA2_aln1_NT.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.27297  -1.23763   0.22174   0.74292  
      	     	          	           	          	           	             	                                      	 0.60342   0.16189  -0.86497   0.09967  
      	     	          	           	          	           	             	                                      	 0.05428   0.80983   0.14881  -1.01292  
  #41	15   	-6251.53752	Yes        	4        	0.590    	0.168    	 0.27836   0.21610   0.31329   0.19225	-0.99085   0.21078   0.74914   0.03093  
      	     	          	           	          	           	             	                                      	 0.27150  -1.14677   0.21570   0.65958  
      	     	          	           	          	           	             	                                      	 0.66561   0.14878  -0.92623   0.11184  
      	     	          	           	          	           	             	                                      	 0.04479   0.74143   0.18225  -0.96847  
  #42	15   	-6219.37975	Yes        	4        	0.663    	0.178    	 0.25173   0.22195   0.31398   0.21234	-1.06098   0.22906   0.78501   0.04691  
      	     	          	           	          	           	             	                                      	 0.25980  -1.16666   0.21923   0.68763  
      	     	          	           	          	           	             	                                      	 0.62937   0.15497  -0.88513   0.10079  
      	     	          	           	          	           	             	                                      	 0.05561   0.71874   0.14903  -0.92338  
  #43	15   	-6360.61282	Yes        	4        	0.650    	0.156    	 0.24333   0.20556   0.34236   0.20874	-1.18625   0.23899   0.90382   0.04345  
      	     	          	           	          	           	             	                                      	 0.28290  -1.14133   0.19950   0.65893  
      	     	          	           	          	           	             	                                      	 0.64238   0.11978  -0.86405   0.10188  
      	     	          	           	          	           	             	                                      	 0.05065   0.64892   0.16710  -0.86667  
  #44	15   	-6429.00503	Yes        	4        	0.826    	0.233    	 0.26601   0.23387   0.32950   0.17062	-0.99695   0.22533   0.73483   0.03678  
      	     	          	           	          	           	             	                                      	 0.25630  -1.12679   0.24928   0.62121  
      	     	          	           	          	           	             	                                      	 0.59324   0.17693  -0.86494   0.09476  
      	     	          	           	          	           	             	                                      	 0.05734   0.85147   0.18299  -1.09181  
  #45	15   	-6100.28313	Yes        	4        	0.576    	0.130    	 0.24923   0.23579   0.31851   0.19648	-1.14585   0.21883   0.87957   0.04745  
      	     	          	           	          	           	             	                                      	 0.23129  -1.03495   0.24745   0.55620  
      	     	          	           	          	           	             	                                      	 0.68825   0.18319  -0.94971   0.07827  
      	     	          	           	          	           	             	                                      	 0.06019   0.66751   0.12688  -0.85458  
  #46	15   	-6371.22414	Yes        	4        	0.640    	0.092    	 0.27416   0.22627   0.31782   0.18175	-1.00607   0.21218   0.75186   0.04202  
      	     	          	           	          	           	             	                                      	 0.25708  -1.10797   0.22179   0.62910  
      	     	          	           	          	           	             	                                      	 0.64857   0.15790  -0.90605   0.09958  
      	     	          	           	          	           	             	                                      	 0.06339   0.78320   0.17413  -1.02072  
  #47	15   	-6093.45649	Yes        	4        	0.613    	0.148    	 0.23486   0.22883   0.34431   0.19200	-1.18350   0.20250   0.92945   0.05154  
      	     	          	           	          	           	             	                                      	 0.20784  -1.08361   0.25159   0.62418  
      	     	          	           	          	           	             	                                      	 0.63399   0.16721  -0.86405   0.06285  
      	     	          	           	          	           	             	                                      	 0.06305   0.74391   0.11272  -0.91968  
  #48	15   	-6251.79415	Yes        	4        	0.634    	0.193    	 0.26720   0.20951   0.31841   0.20488	-1.02312   0.20962   0.78481   0.02869  
      	     	          	           	          	           	             	                                      	 0.26734  -1.18513   0.23092   0.68688  
      	     	          	           	          	           	             	                                      	 0.65856   0.15194  -0.91834   0.10784  
      	     	          	           	          	           	             	                                      	 0.03742   0.70242   0.16760  -0.90744  
  #49	15   	-6430.98183	Yes        	4        	0.615    	0.120    	 0.24194   0.24067   0.29780   0.21959	-1.12866   0.22342   0.86650   0.03874  
      	     	          	           	          	           	             	                                      	 0.22461  -1.04261   0.20998   0.60802  
      	     	          	           	          	           	             	                                      	 0.70397   0.16969  -0.97462   0.10095  
      	     	          	           	          	           	             	                                      	 0.04268   0.66638   0.13691  -0.84597  
  #50	15   	-6068.79293	Yes        	4        	0.573    	0.170    	 0.25235   0.22060   0.32965   0.19740	-1.03550   0.26350   0.71600   0.05600  
      	     	          	           	          	           	             	                                      	 0.30143  -1.29203   0.26729   0.72331  
      	     	          	           	          	           	             	                                      	 0.54810   0.17887  -0.78814   0.06117  
      	     	          	           	          	           	             	                                      	 0.07159   0.80833   0.10215  -0.98206  
  #51	15   	-6248.25748	Yes        	4        	0.635    	0.189    	 0.24544   0.23031   0.32376   0.20049	-1.11197   0.22631   0.83423   0.05143  
      	     	          	           	          	           	             	                                      	 0.24118  -1.16114   0.26776   0.65221  
      	     	          	           	          	           	             	                                      	 0.63243   0.19048  -0.86985   0.04694  
      	     	          	           	          	           	             	                                      	 0.06296   0.74923   0.07580  -0.88799  
  #52	15   	-6395.20256	Yes        	4        	0.578    	0.118    	 0.24462   0.23786   0.31653   0.20099	-1.12035   0.24895   0.79873   0.07267  
      	     	          	           	          	           	             	                                      	 0.25603  -1.06983   0.24095   0.57285  
      	     	          	           	          	           	             	                                      	 0.61727   0.18106  -0.90059   0.10226  
      	     	          	           	          	           	             	                                      	 0.08845   0.67794   0.16104  -0.92743  
  #53	15   	-6577.06113	Yes        	4        	0.778    	0.158    	 0.27348   0.19815   0.32949   0.19888	-1.08814   0.20027   0.83189   0.05598  
      	     	          	           	          	           	             	                                      	 0.27641  -1.14593   0.23233   0.63719  
      	     	          	           	          	           	             	                                      	 0.69047   0.13972  -0.92161   0.09142  
      	     	          	           	          	           	             	                                      	 0.07698   0.63484   0.15146  -0.86328  
  #54	15   	-6309.14108	Yes        	4        	0.644    	0.098    	 0.26592   0.21682   0.30816   0.20910	-0.99135   0.19601   0.74999   0.04534  
      	     	          	           	          	           	             	                                      	 0.24040  -1.17382   0.25361   0.67980  
      	     	          	           	          	           	             	                                      	 0.64720   0.17845  -0.93596   0.11032  
      	     	          	           	          	           	             	                                      	 0.05767   0.70489   0.16258  -0.92514  
  #55	15   	-6300.18154	Yes        	4        	0.623    	0.109    	 0.24910   0.22200   0.31250   0.21640	-1.10324   0.19322   0.85258   0.05744  
      	     	          	           	          	           	             	                                      	 0.21681  -1.08947   0.26989   0.60276  
      	     	          	           	          	           	             	                                      	 0.67960   0.19173  -0.97198   0.10065  
      	     	          	           	          	           	             	                                      	 0.06612   0.61837   0.14535  -0.82984  
