. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA6A_aln1_NT.trim1_1071.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #26	10   	-5142.08448	Yes        	4        	1.076    	0.092    	 0.16529   0.26302   0.36760   0.20409	-1.33912   0.32044   0.94598   0.07270  
      	     	          	           	          	           	             	                                      	 0.20138  -1.08541   0.29482   0.58921  
      	     	          	           	          	           	             	                                      	 0.42537   0.21095  -0.76182   0.12550  
      	     	          	           	          	           	             	                                      	 0.05888   0.75936   0.22604  -1.04428  
  #27	10   	-5289.07632	Yes        	4        	1.130    	0.081    	 0.16008   0.28590   0.37597   0.17805	-1.48247   0.42578   0.99170   0.06498  
      	     	          	           	          	           	             	                                      	 0.23840  -0.99961   0.26811   0.49311  
      	     	          	           	          	           	             	                                      	 0.42223   0.20387  -0.74596   0.11985  
      	     	          	           	          	           	             	                                      	 0.05842   0.79180   0.25308  -1.10330  
  #28	10   	-5224.01611	Yes        	4        	1.047    	0.050    	 0.18353   0.24440   0.38735   0.18473	-1.42343   0.35773   1.00956   0.05613  
      	     	          	           	          	           	             	                                      	 0.26863  -1.09741   0.28267   0.54612  
      	     	          	           	          	           	             	                                      	 0.47834   0.17835  -0.75016   0.09348  
      	     	          	           	          	           	             	                                      	 0.05577   0.72254   0.19601  -0.97431  
  #29	10   	-5213.00638	Yes        	4        	0.939    	0.001    	 0.17492   0.26063   0.36320   0.20126	-1.19725   0.21528   0.93744   0.04453  
      	     	          	           	          	           	             	                                      	 0.14448  -1.05402   0.33312   0.57642  
      	     	          	           	          	           	             	                                      	 0.45146   0.23904  -0.83790   0.14739  
      	     	          	           	          	           	             	                                      	 0.03870   0.74646   0.26599  -1.05115  
  #30	10   	-5257.19573	Yes        	4        	1.954    	0.179    	 0.17980   0.26108   0.37912   0.18000	-1.16994   0.29166   0.83230   0.04598  
      	     	          	           	          	           	             	                                      	 0.20085  -1.12226   0.28225   0.63915  
      	     	          	           	          	           	             	                                      	 0.39472   0.19437  -0.71856   0.12947  
      	     	          	           	          	           	             	                                      	 0.04593   0.92707   0.27269  -1.24569  
  #31	10   	-5084.63978	Yes        	4        	0.895    	0.068    	 0.19240   0.25982   0.36029   0.18748	-1.23866   0.31226   0.89401   0.03239  
      	     	          	           	          	           	             	                                      	 0.23124  -1.04385   0.27430   0.53831  
      	     	          	           	          	           	             	                                      	 0.47742   0.19781  -0.81551   0.14028  
      	     	          	           	          	           	             	                                      	 0.03324   0.74602   0.26958  -1.04885  
  #32	10   	-5112.42879	Yes        	4        	0.773    	0.000    	 0.18493   0.25299   0.36927   0.19281	-1.28746   0.32151   0.89336   0.07259  
      	     	          	           	          	           	             	                                      	 0.23502  -1.07664   0.28566   0.55595  
      	     	          	           	          	           	             	                                      	 0.44740   0.19571  -0.77577   0.13266  
      	     	          	           	          	           	             	                                      	 0.06962   0.72949   0.25407  -1.05318  
  #33	10   	-4994.70525	Yes        	4        	0.928    	0.070    	 0.16035   0.27445   0.36974   0.19546	-1.43090   0.36552   0.96533   0.10005  
      	     	          	           	          	           	             	                                      	 0.21356  -1.01837   0.27487   0.52994  
      	     	          	           	          	           	             	                                      	 0.41865   0.20403  -0.75703   0.13436  
      	     	          	           	          	           	             	                                      	 0.08208   0.74407   0.25416  -1.08030  
  #34	10   	-5305.55815	Yes        	4        	0.874    	0.000    	 0.17622   0.27572   0.36583   0.18222	-1.25584   0.31987   0.87107   0.06490  
      	     	          	           	          	           	             	                                      	 0.20444  -1.05925   0.27769   0.57712  
      	     	          	           	          	           	             	                                      	 0.41960   0.20929  -0.74642   0.11754  
