. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA8A_aln2_NT.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #21	15   	-10489.53600	Yes        	4        	1.088    	0.000    	 0.26094   0.25606   0.31936   0.16365	-0.98830   0.22234   0.66175   0.10421  
      	     	          	           	          	           	             	                                      	 0.22657  -1.02732   0.23557   0.56518  
      	     	          	           	          	           	             	                                      	 0.54070   0.18888  -0.84568   0.11610  
      	     	          	           	          	           	             	                                      	 0.16616   0.88432   0.22657  -1.27705  
  #22	15   	-10335.10842	Yes        	4        	1.186    	0.038    	 0.25913   0.24839   0.33153   0.16094	-1.00049   0.22178   0.70169   0.07701  
      	     	          	           	          	           	             	                                      	 0.23137  -1.04187   0.23167   0.57882  
      	     	          	           	          	           	             	                                      	 0.54846   0.17357  -0.84093   0.11890  
      	     	          	           	          	           	             	                                      	 0.12400   0.89334   0.24493  -1.26227  
  #23	15   	-10379.71827	Yes        	4        	1.304    	0.076    	 0.27113   0.25041   0.29495   0.18351	-0.95352   0.17858   0.70673   0.06822  
      	     	          	           	          	           	             	                                      	 0.19335  -1.02215   0.23525   0.59355  
      	     	          	           	          	           	             	                                      	 0.64965   0.19972  -0.96443   0.11506  
      	     	          	           	          	           	             	                                      	 0.10079   0.80991   0.18493  -1.09562  
  #24	15   	-10461.93723	Yes        	4        	1.083    	0.000    	 0.27132   0.23821   0.31900   0.17147	-0.98605   0.21471   0.68644   0.08490  
      	     	          	           	          	           	             	                                      	 0.24456  -1.08784   0.27151   0.57177  
      	     	          	           	          	           	             	                                      	 0.58385   0.20275  -0.88560   0.09900  
      	     	          	           	          	           	             	                                      	 0.13434   0.79432   0.18418  -1.11285  
