. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_MOAP1_aln2_NT.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #39	14   	-6855.14472	Yes        	4        	1.727    	0.083    	 0.26896   0.19539   0.29243   0.24322	-1.08374   0.16345   0.73371   0.18659  
      	     	          	           	          	           	             	                                      	 0.22499  -1.12856   0.21935   0.68422  
      	     	          	           	          	           	             	                                      	 0.67482   0.14656  -0.93070   0.10932  
      	     	          	           	          	           	             	                                      	 0.20634   0.54966   0.13144  -0.88743  
  #40	14   	-6464.63270	Yes        	4        	1.658    	0.093    	 0.26820   0.22041   0.29240   0.21898	-1.07213   0.20808   0.71392   0.15012  
      	     	          	           	          	           	             	                                      	 0.25320  -1.09181   0.18289   0.65572  
      	     	          	           	          	           	             	                                      	 0.65483   0.13786  -0.88712   0.09443  
      	     	          	           	          	           	             	                                      	 0.18387   0.66002   0.12609  -0.96998  
  #41	14   	-7040.37855	Yes        	4        	1.700    	0.000    	 0.27174   0.20440   0.29373   0.23013	-1.02172   0.16846   0.67350   0.17976  
      	     	          	           	          	           	             	                                      	 0.22396  -1.10895   0.18216   0.70284  
      	     	          	           	          	           	             	                                      	 0.62307   0.12676  -0.89100   0.14117  
      	     	          	           	          	           	             	                                      	 0.21226   0.62427   0.18019  -1.01672  
  #42	14   	-6504.46992	Yes        	4        	1.668    	0.101    	 0.29968   0.18695   0.29510   0.21828	-0.97129   0.18305   0.66029   0.12795  
      	     	          	           	          	           	             	                                      	 0.29343  -1.22009   0.26237   0.66430  
      	     	          	           	          	           	             	                                      	 0.67054   0.16621  -0.95769   0.12094  
      	     	          	           	          	           	             	                                      	 0.17566   0.56895   0.16350  -0.90811  
  #43	14   	-6752.57926	Yes        	4        	1.653    	0.094    	 0.26231   0.23182   0.27240   0.23347	-1.09258   0.19248   0.73059   0.16951  
      	     	          	           	          	           	             	                                      	 0.21780  -1.00512   0.16205   0.62527  
      	     	          	           	          	           	             	                                      	 0.70351   0.13790  -0.95482   0.11340  
      	     	          	           	          	           	             	                                      	 0.19045   0.62086   0.13231  -0.94362  
  #44	14   	-6888.33065	Yes        	4        	1.379    	0.012    	 0.27966   0.20096   0.29269   0.22669	-0.98412   0.16336   0.68287   0.13789  
      	     	          	           	          	           	             	                                      	 0.22734  -1.14587   0.21148   0.70706  
      	     	          	           	          	           	             	                                      	 0.65246   0.14520  -0.93498   0.13732  
      	     	          	           	          	           	             	                                      	 0.17011   0.62681   0.17730  -0.97422  
  #45	14   	-6884.62060	Yes        	4        	2.020    	0.063    	 0.25915   0.22597   0.27208   0.24280	-1.07932   0.18647   0.74740   0.14545  
      	     	          	           	          	           	             	                                      	 0.21385  -1.04136   0.17016   0.65735  
      	     	          	           	          	           	             	                                      	 0.71188   0.14132  -0.97560   0.12240  
      	     	          	           	          	           	             	                                      	 0.15524   0.61179   0.13716  -0.90419  
  #46	14   	-6686.43557	Yes        	4        	1.306    	0.000    	 0.26848   0.20432   0.28933   0.23787	-1.02365   0.19099   0.66285   0.16981  
      	     	          	           	          	           	             	                                      	 0.25097  -1.18496   0.20110   0.73289  
      	     	          	           	          	           	             	                                      	 0.61510   0.14201  -0.87579   0.11867  
      	     	          	           	          	           	             	                                      	 0.19167   0.62952   0.14434  -0.96552  
  #47	14   	-6666.84379	Yes        	4        	1.501    	0.000    	 0.26246   0.22705   0.29313   0.21736	-1.13070   0.20443   0.76661   0.15965  
      	     	          	           	          	           	             	                                      	 0.23632  -1.00388   0.20669   0.56086  
      	     	          	           	          	           	             	                                      	 0.68641   0.16010  -0.94530   0.09879  
      	     	          	           	          	           	             	                                      	 0.19278   0.58588   0.13323  -0.91190  
  #48	14   	-6695.13234	Yes        	4        	2.632    	0.139    	 0.27451   0.20532   0.31191   0.20826	-1.03700   0.21396   0.67761   0.14543  
      	     	          	           	          	           	             	                                      	 0.28606  -1.13964   0.19485   0.65873  
      	     	          	           	          	           	             	                                      	 0.59637   0.12826  -0.85312   0.12849  
      	     	          	           	          	           	             	                                      	 0.19169   0.64943   0.19243  -1.03355  
  #49	14   	-6822.62460	Yes        	4        	1.646    	0.064    	 0.27522   0.20644   0.29329   0.22505	-1.07301   0.18819   0.72173   0.16310  
      	     	          	           	          	           	             	                                      	 0.25089  -1.08474   0.17564   0.65820  
      	     	          	           	          	           	             	                                      	 0.67728   0.12363  -0.91187   0.11097  
      	     	          	           	          	           	             	                                      	 0.19946   0.60376   0.14461  -0.94783  
  #50	14   	-6661.08981	Yes        	4        	1.365    	0.000    	 0.27981   0.21378   0.28050   0.22591	-1.00079   0.18550   0.69632   0.11897  
      	     	          	           	          	           	             	                                      	 0.24279  -1.11785   0.22569   0.64937  
      	     	          	           	          	           	             	                                      	 0.69461   0.17201  -0.98391   0.11728  
      	     	          	           	          	           	             	                                      	 0.14735   0.61451   0.14562  -0.90747  
  #51	14   	-6523.40264	Yes        	4        	1.747    	0.028    	 0.26280   0.20392   0.30091   0.23237	-1.13525   0.20765   0.73584   0.19177  
      	     	          	           	          	           	             	                                      	 0.26760  -1.07296   0.21121   0.59414  
      	     	          	           	          	           	             	                                      	 0.64264   0.14313  -0.91015   0.12438  
      	     	          	           	          	           	             	                                      	 0.21688   0.52141   0.16107  -0.89936  
  #52	14   	-6632.22030	Yes        	4        	2.111    	0.131    	 0.28444   0.19983   0.28981   0.22592	-1.01616   0.19428   0.67292   0.14895  
      	     	          	           	          	           	             	                                      	 0.27654  -1.16226   0.17463   0.71109  
      	     	          	           	          	           	             	                                      	 0.66045   0.12042  -0.89809   0.11722  
      	     	          	           	          	           	             	                                      	 0.18753   0.62898   0.15036  -0.96687  
  #53	14   	-6678.38669	Yes        	4        	1.354    	0.000    	 0.25916   0.22429   0.30377   0.21278	-1.08533   0.20378   0.72054   0.16101  
      	     	          	           	          	           	             	                                      	 0.23546  -1.07732   0.21404   0.62782  
      	     	          	           	          	           	             	                                      	 0.61472   0.15803  -0.87120   0.09845  
      	     	          	           	          	           	             	                                      	 0.19611   0.66178   0.14056  -0.99845  
  #54	14   	-7002.42781	Yes        	4        	1.846    	0.057    	 0.28758   0.20141   0.30618   0.20483	-1.04670   0.20362   0.70961   0.13346  
      	     	          	           	          	           	             	                                      	 0.29074  -1.11603   0.22596   0.59933  
      	     	          	           	          	           	             	                                      	 0.66650   0.14864  -0.92217   0.10703  
      	     	          	           	          	           	             	                                      	 0.18738   0.58933   0.15999  -0.93669  
  #55	14   	-6807.41615	Yes        	4        	1.616    	0.000    	 0.27323   0.19850   0.29641   0.23186	-1.02294   0.14740   0.73984   0.13571  
      	     	          	           	          	           	             	                                      	 0.20289  -1.15487   0.22914   0.72284  
      	     	          	           	          	           	             	                                      	 0.68198   0.15344  -0.94182   0.10639  
      	     	          	           	          	           	             	                                      	 0.15992   0.61882   0.13601  -0.91475  
  #56	14   	-6560.07301	Yes        	4        	1.436    	0.000    	 0.26728   0.19343   0.30362   0.23567	-1.10164   0.19097   0.75232   0.15835  
      	     	          	           	          	           	             	                                      	 0.26388  -1.16376   0.16483   0.73505  
      	     	          	           	          	           	             	                                      	 0.66227   0.10501  -0.87099   0.10371  
      	     	          	           	          	           	             	                                      	 0.17959   0.60331   0.13362  -0.91652  
  #57	14   	-6706.22488	Yes        	4        	1.531    	0.059    	 0.27631   0.21814   0.30433   0.20122	-1.04283   0.18707   0.73052   0.12524  
      	     	          	           	          	           	             	                                      	 0.23696  -1.05932   0.19101   0.63136  
      	     	          	           	          	           	             	                                      	 0.66326   0.13691  -0.90684   0.10667  
      	     	          	           	          	           	             	                                      	 0.17198   0.68446   0.16134  -1.01777  
  #58	14   	-6798.46291	Yes        	4        	1.615    	0.092    	 0.27845   0.20615   0.27066   0.24474	-1.02874   0.19514   0.66756   0.16605  
      	     	          	           	          	           	             	                                      	 0.26357  -1.13338   0.21499   0.65481  
      	     	          	           	          	           	             	                                      	 0.68677   0.16375  -0.97702   0.12651  
      	     	          	           	          	           	             	                                      	 0.18892   0.55155   0.13990  -0.88036  
  #59	14   	-6716.75118	Yes        	4        	1.281    	0.000    	 0.26243   0.21347   0.28551   0.23859	-1.07110   0.22189   0.70769   0.14151  
      	     	          	           	          	           	             	                                      	 0.27278  -1.13648   0.18160   0.68210  
      	     	          	           	          	           	             	                                      	 0.65048   0.13578  -0.90724   0.12098  
      	     	          	           	          	           	             	                                      	 0.15565   0.61027   0.14477  -0.91069  
  #60	14   	-6893.31894	Yes        	4        	1.450    	0.090    	 0.26319   0.21562   0.28981   0.23138	-1.02131   0.16151   0.70016   0.15965  
      	     	          	           	          	           	             	                                      	 0.19714  -1.15919   0.24427   0.71777  
      	     	          	           	          	           	             	                                      	 0.63585   0.18174  -0.89960   0.08201  
      	     	          	           	          	           	             	                                      	 0.18159   0.66886   0.10272  -0.95317  
  #61	14   	-6814.25104	Yes        	4        	3.732    	0.118    	 0.25572   0.21363   0.30782   0.22283	-1.13045   0.17564   0.78219   0.17262  
      	     	          	           	          	           	             	                                      	 0.21024  -1.04018   0.19636   0.63358  
      	     	          	           	          	           	             	                                      	 0.64981   0.13628  -0.89529   0.10921  
      	     	          	           	          	           	             	                                      	 0.19810   0.60744   0.15087  -0.95641  
  #62	14   	-6532.48826	Yes        	4        	0.970    	0.000    	 0.30576   0.19281   0.26346   0.23798	-0.93265   0.14214   0.66349   0.12703  
      	     	          	           	          	           	             	                                      	 0.22541  -1.15932   0.27747   0.65645  
      	     	          	           	          	           	             	                                      	 0.77004   0.20306  -1.10505   0.13196  
      	     	          	           	          	           	             	                                      	 0.16321   0.53185   0.14609  -0.84115  
  #63	14   	-6721.42620	Yes        	4        	1.261    	0.006    	 0.25986   0.23021   0.27658   0.23334	-1.03522   0.20022   0.71123   0.12377  
      	     	          	           	          	           	             	                                      	 0.22601  -1.06208   0.18267   0.65340  
      	     	          	           	          	           	             	                                      	 0.66822   0.15205  -0.95951   0.13924  
      	     	          	           	          	           	             	                                      	 0.13783   0.64464   0.16505  -0.94752  
  #64	14   	-6595.52994	Yes        	4        	1.913    	0.102    	 0.27122   0.22971   0.28604   0.21303	-1.07786   0.21299   0.72176   0.14312  
      	     	          	           	          	           	             	                                      	 0.25148  -1.01749   0.16269   0.60332  
      	     	          	           	          	           	             	                                      	 0.68435   0.13065  -0.92584   0.11083  
      	     	          	           	          	           	             	                                      	 0.18221   0.65057   0.14881  -0.98159  
  #65	14   	-6706.32373	Yes        	4        	2.907    	0.159    	 0.26419   0.20683   0.31028   0.21871	-0.96566   0.16351   0.65899   0.14317  
      	     	          	           	          	           	             	                                      	 0.20886  -1.22078   0.23201   0.77991  
      	     	          	           	          	           	             	                                      	 0.56110   0.15466  -0.83046   0.11471  
      	     	          	           	          	           	             	                                      	 0.17293   0.73754   0.16273  -1.07321  
  #66	14   	-6846.82950	Yes        	4        	1.584    	0.021    	 0.27185   0.21375   0.28276   0.23164	-1.03430   0.19002   0.66580   0.17848  
      	     	          	           	          	           	             	                                      	 0.24168  -1.10154   0.23699   0.62287  
      	     	          	           	          	           	             	                                      	 0.64010   0.17915  -0.94314   0.12390  
      	     	          	           	          	           	             	                                      	 0.20945   0.57476   0.15124  -0.93546  
  #67	14   	-6645.41908	Yes        	4        	2.261    	0.106    	 0.27661   0.21680   0.28372   0.22287	-1.02506   0.18604   0.69343   0.14559  
      	     	          	           	          	           	             	                                      	 0.23737  -1.08369   0.20370   0.64261  
      	     	          	           	          	           	             	                                      	 0.67604   0.15565  -0.94794   0.11625  
      	     	          	           	          	           	             	                                      	 0.18069   0.62509   0.14798  -0.95376  
