. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA6EF_aln1_NT.trim1024_1527.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.54936   0.17089  -0.76627   0.04601  
      	     	          	           	          	           	             	                                      	 0.13451   0.95486   0.09367  -1.18304  
  #24	12   	-2532.11356	Yes        	4        	0.874    	0.000    	 0.18254   0.28042   0.36971   0.16733	-1.56147   0.22094   1.19101   0.14953  
      	     	          	           	          	           	             	                                      	 0.14382  -0.81693   0.18794   0.48517  
      	     	          	           	          	           	             	                                      	 0.58805   0.14255  -0.80150   0.07091  
      	     	          	           	          	           	             	                                      	 0.16312   0.81309   0.15667  -1.13288  
  #25	12   	-2593.98933	Yes        	4        	1.360    	0.088    	 0.17926   0.28163   0.35803   0.18108	-1.24034   0.30594   0.89000   0.04441  
      	     	          	           	          	           	             	                                      	 0.19474  -1.07960   0.21765   0.66722  
      	     	          	           	          	           	             	                                      	 0.44561   0.17120  -0.69628   0.07947  
      	     	          	           	          	           	             	                                      	 0.04396   1.03769   0.15712  -1.23877  
  #26	12   	-2907.90018	Yes        	4        	0.952    	0.085    	 0.19448   0.29171   0.34678   0.16702	-1.15259   0.29063   0.78994   0.07202  
      	     	          	           	          	           	             	                                      	 0.19376  -1.10140   0.22145   0.68619  
      	     	          	           	          	           	             	                                      	 0.44300   0.18628  -0.66122   0.03194  
      	     	          	           	          	           	             	                                      	 0.08385   1.19846   0.06631  -1.34862  
  #27	12   	-2664.09939	Yes        	4        	1.148    	0.108    	 0.20076   0.28196   0.35356   0.16372	-1.20103   0.31282   0.81448   0.07373  
      	     	          	           	          	           	             	                                      	 0.22274  -1.00932   0.20125   0.58533  
      	     	          	           	          	           	             	                                      	 0.46248   0.16049  -0.72789   0.10492  
      	     	          	           	          	           	             	                                      	 0.09042   1.00807   0.22659  -1.32508  
  #28	12   	-2632.20270	Yes        	4        	1.819    	0.189    	 0.18783   0.28142   0.37318   0.15757	-1.36608   0.28853   1.03031   0.04724  
      	     	          	           	          	           	             	                                      	 0.19258  -0.93451   0.14268   0.59925  
      	     	          	           	          	           	             	                                      	 0.51858   0.10759  -0.71894   0.09277  
      	     	          	           	          	           	             	                                      	 0.05631   1.07023   0.21970  -1.34623  
  #29	12   	-2572.10151	Yes        	4        	0.934    	0.088    	 0.18240   0.28808   0.36216   0.16736	-1.19069   0.15662   0.95234   0.08173  
      	     	          	           	          	           	             	                                      	 0.09917  -0.98380   0.25932   0.62531  
      	     	          	           	          	           	             	                                      	 0.47965   0.20627  -0.76315   0.07723  
      	     	          	           	          	           	             	                                      	 0.08908   1.07637   0.16714  -1.33259  
  #30	12   	-2722.19696	Yes        	4        	1.636    	0.178    	 0.19643   0.25926   0.38310   0.16121	-1.33887   0.30075   0.97459   0.06352  
      	     	          	           	          	           	             	                                      	 0.22787  -1.00408   0.16406   0.61216  
      	     	          	           	          	           	             	                                      	 0.49971   0.11102  -0.70409   0.09336  
      	     	          	           	          	           	             	                                      	 0.07740   0.98447   0.22187  -1.28374  
  #31	12   	-2776.07518	Yes        	4        	1.927    	0.211    	 0.20685   0.24272   0.39980   0.15063	-1.31331   0.17348   0.95638   0.18346  
      	     	          	           	          	           	             	                                      	 0.14783  -0.99236   0.32640   0.51813  
      	     	          	           	          	           	             	                                      	 0.49480   0.19816  -0.75139   0.05843  
      	     	          	           	          	           	             	                                      	 0.25193   0.83492   0.15508  -1.24192  
  #32	12   	-2842.74083	Yes        	4        	1.513    	0.158    	 0.18634   0.25976   0.38922   0.16468	-1.26979   0.24573   0.93898   0.08507  
      	     	          	           	          	           	             	                                      	 0.17628  -1.02224   0.26759   0.57837  
      	     	          	           	          	           	             	                                      	 0.44955   0.17858  -0.74026   0.11213  
      	     	          	           	          	           	             	                                      	 0.09626   0.91227   0.26501  -1.27354  
  #33	12   	-2842.51583	Yes        	4        	0.802    	0.004    	 0.15231   0.31702   0.34199   0.18869	-1.43376   0.35943   1.03739   0.03693  
      	     	          	           	          	           	             	                                      	 0.17268  -0.95560   0.23513   0.54779  
      	     	          	           	          	           	             	                                      	 0.46201   0.21796  -0.77772   0.09775  
      	     	          	           	          	           	             	                                      	 0.02981   0.92035   0.17717  -1.12733  
  #34	12   	-2640.27146	Yes        	4        	0.964    	0.065    	 0.17634   0.25161   0.41555   0.15649	-1.43707   0.22989   1.10481   0.10236  
      	     	          	           	          	           	             	                                      	 0.16112  -1.00646   0.27721   0.56812  
      	     	          	           	          	           	             	                                      	 0.46884   0.16785  -0.71823   0.08154  
      	     	          	           	          	           	             	                                      	 0.11534   0.91344   0.21653  -1.24531  
  #35	12   	-2512.74897	Yes        	4        	1.184    	0.096    	 0.19269   0.26646   0.37794   0.16292	-1.31352   0.24823   0.97615   0.08914  
      	     	          	           	          	           	             	                                      	 0.17951  -1.01992   0.23565   0.60476  
      	     	          	           	          	           	             	                                      	 0.49769   0.16614  -0.72459   0.06077  
      	     	          	           	          	           	             	                                      	 0.10543   0.98911   0.14097  -1.23550  
  #36	12   	-2681.75084	Yes        	4        	1.191    	0.212    	 0.19285   0.28564   0.35941   0.16209	-1.11824   0.12665   0.88532   0.10627  
      	     	          	           	          	           	             	                                      	 0.08551  -0.98858   0.23036   0.67272  
      	     	          	           	          	           	             	                                      	 0.47505   0.18308  -0.73153   0.07341  
      	     	          	           	          	           	             	                                      	 0.12645   1.18550   0.16278  -1.47472  
  #37	12   	-2747.66240	Yes        	4        	1.852    	0.134    	 0.18948   0.27629   0.35202   0.18221	-1.27697   0.22861   0.88723   0.16112  
      	     	          	           	          	           	             	                                      	 0.15679  -0.98737   0.19271   0.63787  
      	     	          	           	          	           	             	                                      	 0.47758   0.15126  -0.70995   0.08111  
      	     	          	           	          	           	             	                                      	 0.16755   0.96722   0.15671  -1.29149  
  #38	12   	-2796.73590	Yes        	4        	1.717    	0.109    	 0.18720   0.27518   0.36878   0.16884	-1.19152   0.14602   0.93668   0.10882  
      	     	          	           	          	           	             	                                      	 0.09933  -1.00296   0.27994   0.62369  
      	     	          	           	          	           	             	                                      	 0.47548   0.20888  -0.76108   0.07671  
      	     	          	           	          	           	             	                                      	 0.12066   1.01647   0.16755  -1.30468  
  #39	12   	-2715.72598	Yes        	4        	1.209    	0.064    	 0.19097   0.26653   0.37368   0.16882	-1.29474   0.27851   0.90671   0.10952  
      	     	          	           	          	           	             	                                      	 0.19955  -1.03504   0.24407   0.59142  
      	     	          	           	          	           	             	                                      	 0.46338   0.17409  -0.71790   0.08043  
      	     	          	           	          	           	             	                                      	 0.12390   0.93376   0.17803  -1.23568  
  #40	12   	-2682.00411	Yes        	4        	1.128    	0.136    	 0.19150   0.28080   0.37390   0.15380	-1.20475   0.22495   0.89114   0.08866  
      	     	          	           	          	           	             	                                      	 0.15341  -1.07101   0.27261   0.64499  
      	     	          	           	          	           	             	                                      	 0.45641   0.20473  -0.69223   0.03110  
      	     	          	           	          	           	             	                                      	 0.11040   1.17763   0.07560  -1.36363  
  #41	12   	-2773.85964	Yes        	4        	1.619    	0.177    	 0.17844   0.25484   0.37920   0.18753	-1.55050   0.28401   1.11516   0.15133  
      	     	          	           	          	           	             	                                      	 0.19886  -0.98963   0.28044   0.51033  
      	     	          	           	          	           	             	                                      	 0.52475   0.18847  -0.77076   0.05754  
      	     	          	           	          	           	             	                                      	 0.14399   0.69349   0.11635  -0.95383  
  #42	12   	-2619.42669	Yes        	4        	0.852    	0.091    	 0.18075   0.29138   0.35489   0.17298	-1.37402   0.34073   0.90228   0.13101  
      	     	          	           	          	           	             	                                      	 0.21136  -0.99440   0.24746   0.53558  
      	     	          	           	          	           	             	                                      	 0.45955   0.20318  -0.72889   0.06616  
      	     	          	           	          	           	             	                                      	 0.13689   0.90219   0.13574  -1.17483  
  #43	12   	-2842.90328	Yes        	4        	1.242    	0.102    	 0.18240   0.25170   0.38250   0.18340	-1.41406   0.20721   1.05665   0.15021  
      	     	          	           	          	           	             	                                      	 0.15017  -0.99558   0.28697   0.55844  
      	     	          	           	          	           	             	                                      	 0.50388   0.18883  -0.76927   0.07656  
      	     	          	           	          	           	             	                                      	 0.14940   0.76640   0.15967  -1.07547  
  #44	12   	-2678.18002	Yes        	4        	1.122    	0.059    	 0.17146   0.29415   0.34805   0.18634	-1.45007   0.26418   1.06318   0.12271  
      	     	          	           	          	           	             	                                      	 0.15400  -0.90715   0.21362   0.53954  
      	     	          	           	          	           	             	                                      	 0.52376   0.18053  -0.79000   0.08570  
      	     	          	           	          	           	             	                                      	 0.11291   0.85168   0.16008  -1.12467  
  #45	12   	-2762.25358	Yes        	4        	1.178    	0.148    	 0.18971   0.28449   0.35478   0.17102	-1.28756   0.26570   0.93657   0.08529  
      	     	          	           	          	           	             	                                      	 0.17718  -0.94074   0.20075   0.56280  
      	     	          	           	          	           	             	                                      	 0.50081   0.16098  -0.77035   0.10856  
      	     	          	           	          	           	             	                                      	 0.09461   0.93618   0.22520  -1.25599  
  #46	12   	-2715.34499	Yes        	4        	3.082    	0.212    	 0.21452   0.28415   0.36222   0.13910	-1.15047   0.24595   0.84997   0.05455  
      	     	          	           	          	           	             	                                      	 0.18568  -1.00886   0.28129   0.54189  
      	     	          	           	          	           	             	                                      	 0.50338   0.22067  -0.77730   0.05325  
      	     	          	           	          	           	             	                                      	 0.08413   1.10698   0.13866  -1.32977  
  #47	12   	-2678.41044	Yes        	4        	0.836    	0.031    	 0.21092   0.23788   0.38726   0.16394	-1.15122   0.25662   0.81544   0.07916  
      	     	          	           	          	           	             	                                      	 0.22753  -1.18892   0.27810   0.68328  
      	     	          	           	          	           	             	                                      	 0.44412   0.17083  -0.68852   0.07357  
      	     	          	           	          	           	             	                                      	 0.10184   0.99148   0.17378  -1.26711  
  #48	12   	-2718.01464	Yes        	4        	2.580    	0.231    	 0.17847   0.26083   0.38819   0.17251	-1.34093   0.27425   0.95389   0.11279  
      	     	          	           	          	           	             	                                      	 0.18764  -1.03518   0.18533   0.66221  
      	     	          	           	          	           	             	                                      	 0.43854   0.12453  -0.66514   0.10207  
      	     	          	           	          	           	             	                                      	 0.11668   1.00125   0.22969  -1.34763  
  #49	12   	-2677.78550	Yes        	4        	1.013    	0.110    	 0.16760   0.27598   0.41545   0.14097	-1.48731   0.26334   1.13763   0.08633  
      	     	          	           	          	           	             	                                      	 0.15993  -0.97212   0.25035   0.56184  
      	     	          	           	          	           	             	                                      	 0.45895   0.16630  -0.68922   0.06397  
      	     	          	           	          	           	             	                                      	 0.10265   1.09995   0.18853  -1.39112  
  #50	12   	-2768.41658	Yes        	4        	2.431    	0.172    	 0.17447   0.28708   0.35852   0.17992	-1.31949   0.25710   0.99606   0.06633  
      	     	          	           	          	           	             	                                      	 0.15624  -1.01571   0.24328   0.61618  
      	     	          	           	          	           	             	                                      	 0.48471   0.19481  -0.74381   0.06430  
      	     	          	           	          	           	             	                                      	 0.06432   0.98318   0.12813  -1.17562  
  #51	12   	-2693.28162	Yes        	4        	0.998    	0.090    	 0.19461   0.28638   0.36442   0.15460	-1.34453   0.27449   0.99756   0.07248  
      	     	          	           	          	           	             	                                      	 0.18653  -0.95810   0.20227   0.56929  
      	     	          	           	          	           	             	                                      	 0.53273   0.15895  -0.73938   0.04770  
      	     	          	           	          	           	             	                                      	 0.09124   1.05457   0.11245  -1.25825  
  #52	12   	-2773.48612	Yes        	4        	1.602    	0.135    	 0.17626   0.25331   0.39054   0.17989	-1.23579   0.17716   0.94933   0.10930  
      	     	          	           	          	           	             	                                      	 0.12327  -1.09140   0.26595   0.70218  
      	     	          	           	          	           	             	                                      	 0.42845   0.17249  -0.69555   0.09461  
      	     	          	           	          	           	             	                                      	 0.10709   0.98873   0.20540  -1.30122  
  #53	12   	-2744.23426	Yes        	4        	1.291    	0.193    	 0.18783   0.28356   0.37335   0.15526	-1.30193   0.22956   0.98327   0.08909  
      	     	          	           	          	           	             	                                      	 0.15206  -0.94721   0.21545   0.57970  
      	     	          	           	          	           	             	                                      	 0.49469   0.16364  -0.73863   0.08030  
      	     	          	           	          	           	             	                                      	 0.10779   1.05876   0.19310  -1.35965  
  #54	12   	-2782.88384	Yes        	4        	1.211    	0.101    	 0.17995   0.26298   0.38836   0.16871	-1.32075   0.15776   1.04611   0.11687  
      	     	          	           	          	           	             	                                      	 0.10795  -0.97448   0.22355   0.64298  
      	     	          	           	          	           	             	                                      	 0.48474   0.15138  -0.72481   0.08869  
      	     	          	           	          	           	             	                                      	 0.12467   1.00229   0.20417  -1.33112  
  #55	12   	-2588.16674	Yes        	4        	1.425    	0.184    	 0.16634   0.28406   0.34325   0.20635	-1.39978   0.27688   1.02470   0.09820  
      	     	          	           	          	           	             	                                      	 0.16213  -0.98950   0.25100   0.57638  
      	     	          	           	          	           	             	                                      	 0.49655   0.20772  -0.79791   0.09364  
      	     	          	           	          	           	             	                                      	 0.07916   0.79344   0.15576  -1.02836  
  #56	12   	-2611.55853	Yes        	4        	0.739    	0.000    	 0.18304   0.24306   0.40691   0.16700	-1.43870   0.25940   1.03991   0.13939  
      	     	          	           	          	           	             	                                      	 0.19534  -1.07019   0.22307   0.65177  
      	     	          	           	          	           	             	                                      	 0.46777   0.13325  -0.66007   0.05906  
      	     	          	           	          	           	             	                                      	 0.15277   0.94862   0.14390  -1.24529  
  #57	12   	-2732.46916	Yes        	4        	0.947    	0.078    	 0.17281   0.25037   0.39888   0.17794	-1.36016   0.20878   1.02956   0.12182  
      	     	          	           	          	           	             	                                      	 0.14410  -1.03854   0.23618   0.65826  
      	     	          	           	          	           	             	                                      	 0.44606   0.14825  -0.69711   0.10280  
      	     	          	           	          	           	             	                                      	 0.11831   0.92621   0.23045  -1.27497  
