. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_CCDC8_aln1_NT.addGroupNames.degap_0.3.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.14793   1.06397   0.26406  -1.47596  
  #25	16   	-10226.57357	Yes        	4        	1.820    	0.254    	 0.23738   0.28360   0.34612   0.13290	-1.02454   0.21794   0.71508   0.09153  
      	     	          	           	          	           	             	                                      	 0.18242  -1.00519   0.22226   0.60052  
      	     	          	           	          	           	             	                                      	 0.49043   0.18212  -0.74030   0.06775  
      	     	          	           	          	           	             	                                      	 0.16348   1.28149   0.17646  -1.62143  
  #26	16   	-10289.12447	Yes        	4        	1.500    	0.183    	 0.24270   0.27701   0.35500   0.12529	-1.06615   0.23746   0.75196   0.07672  
      	     	          	           	          	           	             	                                      	 0.20805  -0.98005   0.23085   0.54116  
      	     	          	           	          	           	             	                                      	 0.51407   0.18013  -0.77138   0.07717  
      	     	          	           	          	           	             	                                      	 0.14862   1.19648   0.21866  -1.56376  
  #27	16   	-9640.14495	Yes        	4        	1.475    	0.201    	 0.25560   0.25118   0.37091   0.12230	-1.03388   0.24195   0.71602   0.07591  
      	     	          	           	          	           	             	                                      	 0.24622  -1.09384   0.25772   0.58990  
      	     	          	           	          	           	             	                                      	 0.49342   0.17453  -0.72950   0.06155  
      	     	          	           	          	           	             	                                      	 0.15864   1.21151   0.18668  -1.55682  
  #28	16   	-10095.99842	Yes        	4        	2.168    	0.221    	 0.22215   0.27888   0.36586   0.13311	-1.02170   0.23044   0.71970   0.07156  
      	     	          	           	          	           	             	                                      	 0.18357  -1.06186   0.28009   0.59820  
      	     	          	           	          	           	             	                                      	 0.43701   0.21350  -0.72728   0.07677  
      	     	          	           	          	           	             	                                      	 0.11942   1.25336   0.21102  -1.58380  
  #29	16   	-10171.28861	Yes        	4        	1.643    	0.222    	 0.24275   0.26304   0.36172   0.13249	-1.00457   0.20509   0.70461   0.09488  
      	     	          	           	          	           	             	                                      	 0.18926  -1.07691   0.26979   0.61786  
      	     	          	           	          	           	             	                                      	 0.47286   0.19619  -0.73167   0.06262  
      	     	          	           	          	           	             	                                      	 0.17383   1.22669   0.17097  -1.57149  
  #30	16   	-10156.16180	Yes        	4        	1.293    	0.145    	 0.24858   0.26063   0.35298   0.13781	-0.98354   0.23953   0.67770   0.06631  
      	     	          	           	          	           	             	                                      	 0.22846  -1.13190   0.28873   0.61471  
      	     	          	           	          	           	             	                                      	 0.47727   0.21319  -0.74725   0.05679  
      	     	          	           	          	           	             	                                      	 0.11961   1.16253   0.14547  -1.42761  
  #31	16   	-10549.17719	Yes        	4        	1.761    	0.207    	 0.25033   0.26878   0.34063   0.14026	-0.98022   0.20571   0.67780   0.09671  
      	     	          	           	          	           	             	                                      	 0.19159  -1.02925   0.26218   0.57548  
      	     	          	           	          	           	             	                                      	 0.49810   0.20687  -0.79153   0.08655  
      	     	          	           	          	           	             	                                      	 0.17260   1.10274   0.21020  -1.48555  
  #32	16   	-10180.11347	Yes        	4        	1.661    	0.187    	 0.22661   0.27332   0.35413   0.14593	-1.04980   0.23143   0.72199   0.09638  
      	     	          	           	          	           	             	                                      	 0.19188  -1.03106   0.26747   0.57171  
      	     	          	           	          	           	             	                                      	 0.46201   0.20644  -0.76088   0.09243  
      	     	          	           	          	           	             	                                      	 0.14967   1.07078   0.22430  -1.44475  
  #33	16   	-10011.61450	Yes        	4        	2.329    	0.241    	 0.24128   0.26546   0.36826   0.12500	-1.07249   0.19854   0.76558   0.10837  
      	     	          	           	          	           	             	                                      	 0.18045  -0.99062   0.26708   0.54309  
      	     	          	           	          	           	             	                                      	 0.50160   0.19252  -0.76516   0.07104  
      	     	          	           	          	           	             	                                      	 0.20919   1.15336   0.20929  -1.57184  
  #34	16   	-9801.68154	Yes        	4        	1.446    	0.206    	 0.22666   0.27326   0.36209   0.13800	-1.08245   0.24347   0.74283   0.09615  
      	     	          	           	          	           	             	                                      	 0.20195  -1.03722   0.24064   0.59463  
      	     	          	           	          	           	             	                                      	 0.46499   0.18160  -0.71953   0.07294  
      	     	          	           	          	           	             	                                      	 0.15793   1.17748   0.19138  -1.52680  
  #35	16   	-9915.37226	Yes        	4        	1.766    	0.212    	 0.23978   0.26684   0.35536   0.13803	-1.08663   0.24441   0.76034   0.08188  
      	     	          	           	          	           	             	                                      	 0.21963  -1.04161   0.27343   0.54855  
      	     	          	           	          	           	             	                                      	 0.51304   0.20531  -0.77496   0.05660  
      	     	          	           	          	           	             	                                      	 0.14224   1.06048   0.14572  -1.34844  
  #36	16   	-9907.90070	Yes        	4        	1.353    	0.197    	 0.24327   0.27859   0.33546   0.14269	-1.00244   0.24286   0.69556   0.06401  
      	     	          	           	          	           	             	                                      	 0.21207  -1.04443   0.25614   0.57623  
      	     	          	           	          	           	             	                                      	 0.50441   0.21272  -0.78943   0.07230  
      	     	          	           	          	           	             	                                      	 0.10913   1.12504   0.16996  -1.40414  
  #37	16   	-10000.14896	Yes        	4        	1.427    	0.244    	 0.23354   0.26298   0.36773   0.13575	-1.08622   0.23113   0.74457   0.11052  
      	     	          	           	          	           	             	                                      	 0.20525  -1.05307   0.26256   0.58527  
      	     	          	           	          	           	             	                                      	 0.47287   0.18777  -0.72416   0.06353  
      	     	          	           	          	           	             	                                      	 0.19014   1.13385   0.17209  -1.49608  
  #38	16   	-9978.76436	Yes        	4        	2.378    	0.263    	 0.24548   0.26347   0.35760   0.13345	-1.07000   0.22674   0.75734   0.08593  
      	     	          	           	          	           	             	                                      	 0.21126  -1.02940   0.26199   0.55615  
      	     	          	           	          	           	             	                                      	 0.51989   0.19302  -0.77381   0.06090  
      	     	          	           	          	           	             	                                      	 0.15807   1.09805   0.16320  -1.41931  
  #39	16   	-10368.48575	Yes        	4        	3.098    	0.286    	 0.23360   0.26501   0.35861   0.14278	-1.06434   0.24327   0.74045   0.08062  
      	     	          	           	          	           	             	                                      	 0.21443  -1.05872   0.24688   0.59740  
      	     	          	           	          	           	             	                                      	 0.48233   0.18244  -0.74181   0.07704  
      	     	          	           	          	           	             	                                      	 0.13190   1.10884   0.19349  -1.43423  
